                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2417,                 3.8235,                 1.4871,                0.02733,                0.77358,                0.04175,                0.01247,                 1.8078,                 3.3054,                 1.1482,                  2e-05,                  2e-05,                  2e-05
                      2,                 2.2685,                 3.9461,                 1.2105,                  0.032,                0.90566,                 0.0498,                0.01603,                 1.8082,                 3.2857,                  1.138,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      3,                 2.2788,                 4.6418,                 1.2878,                0.03467,                0.98113,                0.06901,                0.02207,                  1.773,                 3.2456,                 1.1127,              9.802e-05,              9.802e-05,              9.802e-05
                      4,                 2.2037,                 3.9665,                 1.1308,                0.03467,                0.98113,                0.13192,                0.06092,                  1.797,                 3.2219,                 1.0931,             0.00013584,             0.00013584,             0.00013584
                      5,                 1.9539,                 2.8717,                 1.1913,                0.03267,                0.92453,                0.18154,                0.10695,                 1.8021,                  3.184,                  1.083,             0.00017287,             0.00017287,             0.00017287
                      6,                 1.9591,                 2.4931,                 1.1887,                  0.032,                0.90566,                 0.2401,                0.13167,                 1.8638,                 3.1427,                 1.1071,             0.00020911,             0.00020911,             0.00020911
                      7,                 2.0389,                 2.1053,                 1.0801,                0.02933,                0.83019,                0.25457,                0.12846,                 2.0499,                 3.0912,                 1.2207,             0.00024456,             0.00024456,             0.00024456
                      8,                 1.9212,                 2.2318,                 1.1639,                  0.026,                0.73585,                   0.26,                0.10281,                  2.196,                 3.0581,                  1.313,             0.00027921,             0.00027921,             0.00027921
                      9,                 1.8177,                  1.545,                 1.0847,                  0.026,                0.73585,                0.25111,                0.11665,                  2.209,                 3.0027,                 1.3118,             0.00031307,             0.00031307,             0.00031307
                     10,                 1.8936,                 1.9493,                 1.1125,                0.02933,                0.83019,                0.28151,                0.13172,                 2.0994,                 2.9638,                  1.205,             0.00034614,             0.00034614,             0.00034614
                     11,                 2.0029,                 1.5215,                 1.1166,                0.03133,                0.88679,                 0.3361,                0.14968,                 1.9283,                 2.9557,                 1.1207,             0.00037842,             0.00037842,             0.00037842
                     12,                 2.0042,                 2.0626,                 1.2578,                0.03267,                0.92453,                0.36858,                0.17424,                 1.8074,                 2.9287,                 1.0871,             0.00040991,             0.00040991,             0.00040991
                     13,                 1.8881,                 1.6869,                 1.1625,                  0.034,                0.96226,                0.39222,                0.17497,                 1.7804,                  2.917,                 1.0911,              0.0004406,              0.0004406,              0.0004406
                     14,                 2.1418,                  2.102,                 1.1862,                0.03133,                0.88679,                 0.4129,                0.16276,                 1.8331,                 2.8988,                 1.1145,              0.0004705,              0.0004705,              0.0004705
                     15,                 1.8927,                 1.7278,                 1.2368,                0.03333,                 0.9434,                0.42526,                0.16219,                 1.8951,                  2.871,                 1.1389,             0.00049961,             0.00049961,             0.00049961
                     16,                 1.8702,                 1.3366,                 1.1429,                0.02933,                0.83019,                 0.3774,                 0.1469,                 1.8903,                  2.847,                 1.1356,             0.00052793,             0.00052793,             0.00052793
                     17,                 1.8036,                 1.3053,                 1.1382,                0.02933,                0.83019,                0.35728,                0.13664,                 1.8195,                 2.8104,                 1.1376,             0.00055546,             0.00055546,             0.00055546
                     18,                 1.7726,                 1.4392,                 1.1748,                0.03133,                0.88679,                0.36773,                0.15892,                 1.7819,                  2.774,                 1.1379,             0.00058219,             0.00058219,             0.00058219
                     19,                 1.9037,                 1.5613,                 1.0806,                0.03467,                0.98113,                0.35726,                0.15986,                 1.7685,                 2.7858,                 1.1409,             0.00060813,             0.00060813,             0.00060813
                     20,                 1.9088,                 1.7823,                 1.2819,                0.91627,                0.20656,                0.41844,                0.18241,                 1.7913,                 2.7382,                 1.1549,             0.00063328,             0.00063328,             0.00063328
                     21,                 1.7517,                 1.2296,                 1.0939,                      1,                0.13019,                0.41834,                0.18942,                 1.8084,                 2.7172,                 1.1585,             0.00065764,             0.00065764,             0.00065764
