                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2417,                 3.8235,                 1.4871,                0.02733,                0.77358,                0.04175,                0.01247,                 1.8078,                 3.3054,                 1.1482,                  2e-05,                  2e-05,                  2e-05
                      2,                 2.2685,                 3.9461,                 1.2105,                  0.032,                0.90566,                 0.0498,                0.01603,                 1.8082,                 3.2857,                  1.138,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      3,                 2.2788,                 4.6418,                 1.2878,                0.03467,                0.98113,                0.06901,                0.02207,                  1.773,                 3.2456,                 1.1127,              9.802e-05,              9.802e-05,              9.802e-05
                      4,                 2.2037,                 3.9665,                 1.1308,                0.03467,                0.98113,                0.13192,                0.06092,                  1.797,                 3.2219,                 1.0931,             0.00013584,             0.00013584,             0.00013584
                      5,                 1.9539,                 2.8717,                 1.1913,                0.03267,                0.92453,                0.18154,                0.10695,                 1.8021,                  3.184,                  1.083,             0.00017287,             0.00017287,             0.00017287
                      6,                 1.9591,                 2.4931,                 1.1887,                  0.032,                0.90566,                 0.2401,                0.13167,                 1.8637,                 3.1427,                 1.1071,             0.00020911,             0.00020911,             0.00020911
                      7,                 2.0392,                  2.105,                 1.0801,                0.02933,                0.83019,                0.25457,                0.12846,                 2.0486,                 3.0911,                 1.2202,             0.00024456,             0.00024456,             0.00024456
                      8,                 1.9214,                 2.2307,                 1.1643,                  0.026,                0.73585,                0.26141,                0.10369,                 2.1988,                 3.0573,                  1.314,             0.00027921,             0.00027921,             0.00027921
                      9,                 1.8181,                 1.5455,                  1.085,                  0.026,                0.73585,                0.25059,                 0.1166,                 2.2022,                 3.0057,                 1.3061,             0.00031307,             0.00031307,             0.00031307
                     10,                 1.9049,                 1.9606,                 1.1153,                0.02933,                0.83019,                0.28631,                0.13403,                 2.1054,                 2.9635,                 1.2061,             0.00034614,             0.00034614,             0.00034614
                     11,                 1.9995,                 1.5213,                  1.115,                0.03133,                0.88679,                0.34396,                  0.152,                 1.9261,                 2.9505,                 1.1147,             0.00037842,             0.00037842,             0.00037842
                     12,                 1.9502,                 2.0745,                 1.2531,                  0.034,                0.96226,                0.38334,                0.16981,                 1.8031,                 2.9222,                 1.0776,             0.00040991,             0.00040991,             0.00040991
                     13,                 1.9208,                 1.6685,                 1.1557,                0.03533,                      1,                0.38917,                0.16904,                 1.7902,                   2.93,                   1.08,              0.0004406,              0.0004406,              0.0004406
                     14,                 2.1477,                  2.109,                 1.1809,                0.03467,                0.98113,                0.39069,                0.16095,                 1.8516,                 2.9224,                    1.1,              0.0004705,              0.0004705,              0.0004705
                     15,                 1.9138,                 1.7475,                 1.2281,                0.03133,                0.88679,                0.32015,                0.12695,                 1.9333,                 2.9342,                 1.1249,             0.00049961,             0.00049961,             0.00049961
                     16,                 1.8841,                 1.3444,                 1.1442,                0.02933,                0.83019,                0.26513,                0.09261,                 1.9259,                 2.8956,                 1.1335,             0.00052793,             0.00052793,             0.00052793
                     17,                 1.7817,                 1.2782,                 1.1317,                0.03067,                0.86792,                0.30182,                0.10094,                 1.8439,                 2.8206,                 1.1187,             0.00055546,             0.00055546,             0.00055546
                     18,                 1.7558,                 1.4024,                  1.159,                0.03267,                0.92453,                0.35476,                0.14691,                 1.7929,                 2.7505,                 1.1397,             0.00058219,             0.00058219,             0.00058219
                     19,                 1.9785,                 1.5408,                 1.0901,                0.03067,                0.86792,                0.41983,                0.19281,                 1.7873,                 2.7534,                 1.1418,             0.00060813,             0.00060813,             0.00060813
                     20,                 1.9054,                 1.8483,                 1.2365,                0.03249,                0.75472,                0.46587,                 0.2272,                 1.7867,                 2.7327,                 1.1494,             0.00063328,             0.00063328,             0.00063328
                     21,                 1.7547,                  1.227,                 1.0892,                0.84197,                0.30159,                0.52342,                0.24559,                 1.8029,                 2.7009,                 1.1648,             0.00065764,             0.00065764,             0.00065764
